id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es su sexo?                    ;2_¿En qué rango de edad se encuentra usted?;3_¿Vive usted en la ciudad de Madrid?;4_En qué distrito vive?;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Natación;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Ciclismo;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Carrera;5_¿Practicaba alguna de estas modalidades antes de inscribirse en el programa?.Puede señalar una o varias respuestas.__Ninguna;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Centro Deportivo;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Redes sociales;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Familiares/ amistades;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Federación    ;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Web / Aplicación;"6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar una o varias respuestas__Otros";"7_En relación con el procedimiento de inscripción, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Información del programa y atención recibida en el Centro Deportivo";"7_En relación con el procedimiento de inscripción, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el procedimiento de inscripción a través de medios telemáticos";"8_¿Se producen ausencias del profesorado?
";9_En caso de producirse ausencias del profesorado, ¿se recuperan esas horas de clase?     ;"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Puntualidad del profesorado";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Calidad de las clases recibidas";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el profesorado ";"10_En relación con el profesorado,indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con las clases";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Organización de la actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Lugares elegidos para la realización de la actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Cumplimiento del calendario anual de actividad";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad de la natación";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad del ciclismo";"11_En relación con la valoración de la actividad, indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10 donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad de la carrera";"12_¿Cuál es su valoración general del programa? Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Relación calidad precio del servicio recibido";"12_¿Cuál es su valoración general del programa? Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el programa";13_¿Recomendaría usted el programa a familiares o amistades?;14_Para finalizar, indique aquellas sugerencias que puedan contribuir a la mejora del programa.
37559136;2023-06-07 12:04:20;2023-06-07 12:10:04;316475;;Completa;Desktop;23918681;29508;;Hombre;De 27 a 45 años;Sí;2. Arganzuela;Natación;Ciclismo;Carrera;;;Redes sociales;;;;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;más días de entreno
37559143;2023-06-07 10:31:50;2023-06-07 10:38:33;316475;;Completa;Desktop;23918688;29508;;Hombre;;Sí;9. Moncloa-Aravaca;Natación;Ciclismo;Carrera;;Centro Deportivo;;;;;;10;10;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;Me encantaría que el grupo de las 8 los jueves tuviese 2 calles para practicar la Natación
37559144;2023-06-07 10:31:30;2023-06-07 10:33:15;316475;;Completa;Mobile;23918689;29508;;Mujer;De 27 a 45 años;;;;Ciclismo;;;;;;;;;7;7;;Sí;10;7;7;7;7;7;7;8;8;8;10;10;;Se debería separar los niveles ya que hay gente que lleva años haciendo un triathlon y otros que empiezan desde cero
37559146;2023-06-08 14:28:18;2023-06-08 14:31:43;316475;;Completa;Mobile;23918691;29508;;Mujer;De 15 a 26 años;;;Natación;Ciclismo;Carrera;;;;;;;Otros;7;9;Nunca;;9;4;2;4;5;8;10;3;7;2;7;4;;David, el anterior entrenador era mucho mejor. Nos enseñaba más y hacía un mayor seguimiento. Espero que vuelva
37559147;2023-06-07 14:51:34;2023-06-07 14:53:11;316475;;Completa;Mobile;23918692;29508;;Hombre;De 46 a 65 años;Sí;10. Latina;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;;;;10;10;;Sí;10;10;10;10;10;10;10;10;10;10;10;10;Sí;
37559160;2023-06-08 15:46:33;2023-06-08 15:48:45;316475;;Completa;Desktop;23918705;29508;;Mujer;De 46 a 65 años;No;;Natación;Ciclismo;Carrera;;;Redes sociales;Familiares/ amistades;;Web / Aplicación;;6;10;Poca frecuencia (1 a 3);Sí;9;10;10;10;10;10;10;9;9;9;;;Sí;
37559163;2023-06-07 12:11:13;2023-06-07 12:13:35;316475;;Completa;Mobile;23918708;29508;;Hombre;De 15 a 26 años;;;;;Carrera;;;;;;Web / Aplicación;;8;8;Nunca;;9;9;10;10;8;10;8;7;7;7;10;9;Sí;
37559164;2023-06-07 17:15:54;2023-06-07 17:19:45;316475;;Completa;Mobile;23918709;29508;;Mujer;De 46 a 65 años;Sí;18. Villa de Vallecas;Natación;;Carrera;;;;Familiares/ amistades;;;;9;9;Nunca;;10;10;10;10;10;10;10;10;10;9;10;10;Sí;Entrenador muy cercano, profesional, im plicacion, motivacion. 
37559176;2023-06-07 10:52:40;2023-06-07 10:54:44;316475;;Completa;Desktop;23918721;29508;;Hombre;De 46 a 65 años;Sí;14. Moratalaz;Natación;Ciclismo;Carrera;;;;;;;;7;10;;Sí;8;8;8;8;7;9;9;9;9;9;9;9;;
37559178;2023-06-07 18:20:54;2023-06-07 18:23:26;316475;;Completa;Mobile;23918723;29508;;Mujer;De 46 a 65 años;Sí;20. San Blas-Canillejas;Natación;Ciclismo;Carrera;;;;Familiares/ amistades;Federación;;;5;6;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;;La única sugerencia es que hubiera más dias de clase a la semana, por lo demás imposible mejorar lo ya establecido. 
37559180;2023-06-07 13:09:44;2023-06-07 13:13:23;316475;;Completa;Mobile;23918725;29508;;Hombre;De 27 a 45 años;Sí;17. Villaverde;Natación;Ciclismo;Carrera;;;Redes sociales;;Federación;;;10;5;Nunca;;10;10;10;10;10;10;10;10;10;10;10;10;Sí;Este año en el turno de las 8 dejaron sólo una calle de natación, y esos muchos días producía el no poder ir  a la hora deseada, ya que en el turno de las 7 había dos calles 
37559181;2023-06-07 10:41:21;2023-06-07 10:43:24;316475;;Completa;Mobile;23918726;29508;;Hombre;De 46 a 65 años;Sí;11. Carabanchel;;Ciclismo;Carrera;;Centro Deportivo;;Familiares/ amistades;Federación;;;10;10;Nunca;;10;9;10;10;10;9;10;9;9;9;10;10;Sí;
37559186;2023-06-07 11:01:13;2023-06-07 11:09:00;316475;;Completa;Mobile;23918731;29508;;Mujer;De 15 a 26 años;Sí;18. Villa de Vallecas;Natación;;;;Centro Deportivo;;;;;;10;10;Nunca;;10;10;10;10;10;10;10;10;0;;10;10;Sí;Ampliar días de entrenamiento en piscina
